,bonds,stocks,cash
1986-02-01,0.026646843,0.12748845920391805,0.0170301369999999
1986-03-01,0.0336765656,0.07053880729993356,0.0189397259999999
1986-04-01,0.0221508118,-0.061593284119384695,0.0172602740000001
1986-05-01,0.0070820094,0.04207203967856343,0.0137589040999999
1986-06-01,0.0215355025,0.06832255989253011,0.0131506849
1986-07-01,0.0183460396,0.07560231079319535,0.0139287670999999
1986-08-01,0.0239657878,0.14263863086059603,0.0140136985999999
1986-09-01,0.0043985232,-0.05267907688072493,0.0127808219000001
1986-10-01,0.016806449,-0.06181640279811951,0.0144383561999999
1986-11-01,0.015216675,0.04360955648910503,0.0163150685
1986-12-01,0.0170350134,-0.018093988433696917,0.0207232877000001
1987-01-01,0.0275639766,0.12281217540355693,0.0207232877000001
1987-02-01,0.0204332459,0.010001807846464095,0.0194465752999999
1987-03-01,0.0239528999,0.05629284615708263,0.0240356164
1987-04-01,0.0175021783,0.051982174418060856,0.0232602740000001
1987-05-01,0.0201276208,-0.014488137397893674,0.0173260274
1987-06-01,0.0157556273,-0.050338779937229794,0.0159041096000001
1987-07-01,0.011211811,0.06208895483039112,0.0157547945000001
1987-08-01,0.011854988,0.0020447295840364532,0.0152961644
1987-09-01,0.0024505115,-0.10111147840805601,0.0153041095999999
1987-10-01,0.0315345949,-0.08385497089904437,0.0176317807999999
1987-11-01,0.0208356273,-0.11347161039821096,0.0141616438000001
1987-12-01,0.0161397062,0.010562429309029842,0.0148969862999999
1988-01-01,0.0238517527,0.01097927619468786,0.0143109588999999
1988-02-01,0.0169431655,0.0641516679758305,0.0137293151
1988-03-01,0.0133398422,0.03895592222821498,0.0140646575000001
1988-04-01,0.010332828,-0.01970777867593987,0.0152136986
1988-05-01,0.0073827231,-0.05962984269512561,0.0136654795
1988-06-01,0.0160135373,0.017393758740543053,0.0129863014
1988-07-01,0.0086008202,0.01596144394673682,0.0132408219
1988-08-01,0.0066199494,0.030478970547917816,0.0124679452000001
1988-09-01,0.0179912091,0.05095352194983738,0.0119260273999999
1988-10-01,0.0167442354,0.056759339512887585,0.0120942466
1988-11-01,0.0042698013,-0.015157278515954054,0.0120328767
1988-12-01,0.0072985419,0.05003083985737078,0.0118734247000001
1989-01-01,0.0093785054,0.07791103377327535,0.0109816438000001
1989-02-01,-0.0009114007,-0.04089482211170159,0.0106630136999999
1989-03-01,0.0144808499,0.0066436164896162,0.0113893151
1989-04-01,0.0153568688,0.016870982024741465,0.0114082192
1989-05-01,0.0132888466,0.02410051705518601,0.0114063014000001
1989-06-01,0.0193000282,0.006692873008875555,0.0110630137000001
1989-07-01,0.0186518205,0.09731003496642265,0.0113213699000001
1989-08-01,0.0001410238,-0.04170936738705644,0.0115082192
1989-09-01,0.0057466494,0.037716128816950745,0.0114493150999999
1989-10-01,0.0138982319,-0.028887700381733272,0.0116780822
1989-11-01,0.0090460977,0.04115146786771939,0.0117205479
1989-12-01,0.0090109224,0.01955525033086003,0.0117799999999999
1990-01-01,0.0009946053,-0.06627425356854166,0.0117799999999999
1990-02-01,0.0006692183,-0.03152103653716554,0.0106016438000001
1990-03-01,0.0078624597,-0.04500525668451716,0.0115506849
1990-04-01,0.006811967,-0.007141070728794552,0.0111863014
1990-05-01,0.0209331538,0.11811230583249199,0.0117715067999999
1990-06-01,0.013825878,-0.02442957983044114,0.0113424658000001
1990-07-01,0.014610927,-0.007748378226650643,0.0117290410999999
1990-08-01,0.0039819681,-0.12203024925474504,0.0124339726
1990-09-01,0.0102293791,-0.11420713823764594,0.011860274
1990-10-01,0.0209068449,0.11285493822400405,0.0121282192000001
1990-11-01,0.0155599717,-0.012859012021213756,0.0109397259999999
1990-12-01,0.0138829156,0.06348741836338312,0.0102512329
1991-01-01,0.0132019173,0.017892284718575846,0.0102936986
1991-02-01,0.0127730893,0.09238114034421296,0.00931287669999992
1991-03-01,0.0086630075,-0.003465827695589452,0.0100898629999999
1991-04-01,0.0121726966,0.002459844001927003,0.00861369860000005
1991-05-01,0.0101110733,0.044092610489878004,0.00857808219999989
1991-06-01,0.0052089852,-0.05707540560737934,0.00830958900000001
1991-07-01,0.0116773558,0.05494967128285655,0.00822986299999995
1991-08-01,0.0165758313,0.0005348290511915099,0.0079071233000001
1991-09-01,0.0158472032,0.024455022930536696,0.00634520549999995
1991-10-01,0.0109579083,0.04363535602377833,0.0069983562
1991-11-01,0.0106290481,-0.04074847875409504,0.00677260269999991
1991-12-01,0.0178930353,0.12928277293448698,0.00628493149999998
1992-01-01,0.0037881187,-0.02918454537642068,0.0062594520999999
1992-02-01,0.0052937727,-0.03279097055092184,0.00587945210000007
1992-03-01,0.0001331283,-0.052671112867235914,0.00603013699999999
1992-04-01,0.0105329408,0.00708255895864629,0.00561369859999994
1992-05-01,0.0109230113,0.05093584257507411,0.00584328770000009
1992-06-01,0.0112219021,-0.053532705590969676,0.00544931509999991
1992-07-01,0.0128755709,0.009948717923011996,0.00527424659999998
1992-08-01,0.0089484292,0.043543743468576146,0.00529972600000006
1992-09-01,0.0147823372,-0.006612267263060523,0.00535068490000001
1992-10-01,0.0060604596,0.005089717441484121,0.00527424659999998
1992-11-01,0.001189365,0.04935869847607055,0.00503835620000004
1992-12-01,0.0098868452,0.001739719660865724,0.00700684929999995
1993-01-01,0.0155835133,-0.013249309225721317,0.00667561639999992
1993-02-01,0.0135906733,-0.006101482267399927,0.00583780819999991
1993-03-01,0.0060389251,0.03032427489027434,0.00594520549999999
1993-04-01,0.0089730955,0.012759910773504135,0.00558082189999998
